  x,y,z,rho,u,v,w,p
     0.677970,      0.157895,      0.000000,      1.037290,    163.033951,      0.117152,      0.000000,  85403.648438
     0.847460,      0.157895,      0.000000,      1.037558,    162.846893,      0.156138,      0.000000,  85434.554688
     1.016950,      0.157895,      0.000000,      1.037928,    162.607040,      0.202721,      0.000000,  85477.234375
     1.186440,      0.157895,      0.000000,      1.038379,    162.290985,      0.260289,      0.000000,  85529.289062
     1.355930,      0.157895,      0.000000,      1.038981,    161.897995,      0.331830,      0.000000,  85598.718750
     1.525420,      0.157895,      0.000000,      1.039702,    161.387802,      0.423011,      0.000000,  85681.882812
     1.694920,      0.157895,      0.000000,      1.040659,    160.757217,      0.539944,      0.000000,  85792.343750
     1.864410,      0.157895,      0.000000,      1.041805,    159.935074,      0.694484,      0.000000,  85924.656250
     2.033900,      0.157895,      0.000000,      1.043341,    158.910629,      0.900053,      0.000000,  86102.046875
     2.203390,      0.157895,      0.000000,      1.045203,    157.551651,      1.191971,      0.000000,  86317.320312
     2.372880,      0.157895,      0.000000,      1.047767,    155.816483,      1.591199,      0.000000,  86613.835938
     2.542370,      0.157895,      0.000000,      1.050913,    153.438934,      2.224754,      0.000000,  86978.429688
     2.711860,      0.157895,      0.000000,      1.055496,    150.288971,      3.313820,      0.000000,  87509.773438
     2.881360,      0.157895,      0.000000,      1.061554,    145.487869,      5.238666,      0.000000,  88213.320312
     3.050850,      0.158653,      0.000000,      1.069127,    139.033463,      9.886251,      0.000000,  89099.796875
     3.220340,      0.171935,      0.000000,      1.072814,    135.580017,     18.348431,      0.000000,  89536.757812
     3.389830,      0.200924,      0.000000,      1.068558,    137.115387,     28.481047,      0.000000,  89044.960938
     3.559320,      0.243575,      0.000000,      1.059372,    142.257797,     38.085262,      0.000000,  87978.867188
     3.728810,      0.296874,      0.000000,      1.044832,    150.846497,     46.696495,      0.000000,  86298.117188
     3.898310,      0.357060,      0.000000,      1.024716,    162.858368,     53.923702,      0.000000,  83986.585938
     4.067800,      0.419908,      0.000000,      0.998869,    178.324188,     58.886749,      0.000000,  81041.250000
     4.237290,      0.480985,      0.000000,      0.967499,    197.007172,     60.518753,      0.000000,  77506.156250
     4.406780,      0.535980,      0.000000,      0.931496,    218.168381,     57.644165,      0.000000,  73505.023438
     4.576270,      0.581027,      0.000000,      0.893180,    240.228775,     49.113762,      0.000000,  69318.195312
     4.745760,      0.612944,      0.000000,      0.857144,    260.318573,     34.181438,      0.000000,  65458.496094
     4.915250,      0.629485,      0.000000,      0.831759,    273.784668,     13.379338,      0.000000,  62796.277344
     5.084750,      0.629485,      0.000000,      0.828332,    274.928925,    -10.445457,      0.000000,  62453.820312
     5.254240,      0.612944,      0.000000,      0.850357,    262.123138,    -32.384346,      0.000000,  64799.226562
     5.423730,      0.581027,      0.000000,      0.886587,    241.006638,    -48.274773,      0.000000,  68710.585938
     5.593220,      0.535980,      0.000000,      0.924896,    217.959702,    -57.111000,      0.000000,  72926.429688
     5.762710,      0.480985,      0.000000,      0.960648,    195.998489,    -59.968853,      0.000000,  76931.695312
     5.932200,      0.419908,      0.000000,      0.991923,    176.688004,    -58.250103,      0.000000,  80485.804688
     6.101700,      0.357060,      0.000000,      1.017588,    160.776581,    -53.236595,      0.000000,  83436.304688
     6.271190,      0.296874,      0.000000,      1.037684,    148.478592,    -46.030853,      0.000000,  85766.992188
     6.440680,      0.243575,      0.000000,      1.052275,    139.699875,    -37.461189,      0.000000,  87470.960938
     6.610170,      0.200924,      0.000000,      1.061833,    134.438248,    -28.197773,      0.000000,  88592.687500
     6.779660,      0.171935,      0.000000,      1.065830,    132.786133,    -18.742729,      0.000000,  89063.835938
     6.949150,      0.158653,      0.000000,      1.064115,    135.703461,    -10.239120,      0.000000,  88865.234375
     7.118640,      0.157895,      0.000000,      1.056868,    142.082565,     -4.812409,      0.000000,  88019.734375
     7.288140,      0.157895,      0.000000,      1.050068,    147.211365,     -2.784737,      0.000000,  87224.625000
     7.457630,      0.157895,      0.000000,      1.046310,    150.299500,     -2.130890,      0.000000,  86786.765625
     7.627120,      0.157895,      0.000000,      1.042771,    152.710587,     -1.563202,      0.000000,  86375.320312
     7.796610,      0.157895,      0.000000,      1.040371,    154.428543,     -1.138617,      0.000000,  86096.375000
     7.966100,      0.157895,      0.000000,      1.038442,    155.781509,     -0.881413,      0.000000,  85872.523438
     8.135590,      0.157895,      0.000000,      1.036965,    156.821579,     -0.697058,      0.000000,  85701.242188
     8.305090,      0.157895,      0.000000,      1.035762,    157.647018,     -0.552131,      0.000000,  85561.882812
     8.474580,      0.157895,      0.000000,      1.034807,    158.304230,     -0.441859,      0.000000,  85451.382812
     8.644070,      0.157895,      0.000000,      1.034023,    158.834900,     -0.358992,      0.000000,  85360.726562
     8.813560,      0.157895,      0.000000,      1.033386,    159.268570,     -0.295147,      0.000000,  85287.054688
     8.983050,      0.157895,      0.000000,      1.032848,    159.624527,     -0.245646,      0.000000,  85225.054688
     9.152540,      0.157895,      0.000000,      1.032405,    159.924820,     -0.208183,      0.000000,  85173.937500
     9.322030,      0.157895,      0.000000,      1.032013,    160.177109,     -0.180121,      0.000000,  85129.062500
     9.491530,      0.157895,      0.000000,      1.031694,    160.401077,     -0.160054,      0.000000,  85091.625000
     9.661020,      0.157895,      0.000000,      1.031373,    160.596268,     -0.147165,      0.000000,  85056.117188
     9.830510,      0.157895,      0.000000,      1.031125,    160.782806,     -0.138974,      0.000000,  85025.929688
    10.000000,      0.157895,      0.000000,      1.031078,    160.927521,     -0.134899,      0.000000,  85015.023438
     0.000000,      0.315789,      0.000000,      1.036785,    163.380127,      0.017327,      0.000000,  85345.445312
     0.169490,      0.315789,      0.000000,      1.036810,    163.347916,      0.050727,      0.000000,  85348.367188
     0.338980,      0.315789,      0.000000,      1.036896,    163.296814,      0.102644,      0.000000,  85358.242188
     0.508470,      0.315789,      0.000000,      1.037023,    163.208954,      0.159699,      0.000000,  85372.804688
     0.677970,      0.315789,      0.000000,      1.037223,    163.081879,      0.223903,      0.000000,  85395.851562
     0.847460,      0.315789,      0.000000,      1.037480,    162.904755,      0.298896,      0.000000,  85425.507812
     1.016950,      0.315789,      0.000000,      1.037831,    162.677582,      0.388634,      0.000000,  85466.054688
     1.186440,      0.315789,      0.000000,      1.038262,    162.379318,      0.498823,      0.000000,  85515.734375
     1.355930,      0.315789,      0.000000,      1.038831,    162.007782,      0.635396,      0.000000,  85581.398438
     1.525420,      0.315789,      0.000000,      1.039516,    161.529297,      0.808423,      0.000000,  85660.453125
     1.694920,      0.315789,      0.000000,      1.040411,    160.937378,      1.029647,      0.000000,  85763.648438
     1.864410,      0.315789,      0.000000,      1.041490,    160.175476,      1.319647,      0.000000,  85888.296875
     2.033900,      0.315789,      0.000000,      1.042900,    159.226746,      1.701895,      0.000000,  86051.148438
     2.203390,      0.315789,      0.000000,      1.044611,    157.997299,      2.232716,      0.000000,  86248.953125
     2.372880,      0.315789,      0.000000,      1.046882,    156.439209,      2.970753,      0.000000,  86511.554688
     2.542370,      0.315789,      0.000000,      1.049679,    154.385818,      4.026882,      0.000000,  86835.562500
     2.711860,      0.315789,      0.000000,      1.053240,    151.774033,      5.800201,      0.000000,  87248.882812
     2.881360,      0.315789,      0.000000,      1.057674,    148.730927,      8.716384,      0.000000,  87762.570312
     3.050850,      0.316505,      0.000000,      1.061391,    145.554672,     13.464282,      0.000000,  88196.054688
     3.220340,      0.329049,      0.000000,      1.061584,    144.157120,     20.254848,      0.000000,  88222.273438
     3.389830,      0.356428,      0.000000,      1.057601,    145.788544,     28.030109,      0.000000,  87762.187500
     3.559320,      0.396709,      0.000000,      1.049194,    150.624008,     35.731281,      0.000000,  86792.179688
     3.728810,      0.447047,      0.000000,      1.035375,    158.720291,     42.681313,      0.000000,  85200.992188
     3.898310,      0.503890,      0.000000,      1.016956,    169.713730,     48.109417,      0.000000,  83091.367188
     4.067800,      0.563247,      0.000000,      0.994152,    183.387390,     51.250858,      0.000000,  80499.648438
     4.237290,      0.620931,      0.000000,      0.967591,    199.223251,     51.340973,      0.000000,  77509.757812
     4.406780,      0.672870,      0.000000,      0.938611,    216.304123,     47.625511,      0.000000,  74282.968750
     4.576270,      0.715415,      0.000000,      0.909579,    233.197952,     39.523228,      0.000000,  71086.921875
     4.745760,      0.745558,      0.000000,      0.884202,    247.759521,     26.802887,      0.000000,  68323.054688
     4.915250,      0.761181,      0.000000,      0.867792,    257.006927,     10.063195,      0.000000,  66562.742188
     5.084750,      0.761181,      0.000000,      0.866053,    257.901001,     -8.514800,      0.000000,  66394.953125
     5.254240,      0.745558,      0.000000,      0.880211,    249.815109,    -25.612164,      0.000000,  67934.906250
     5.423730,      0.715415,      0.000000,      0.904607,    235.522980,    -38.697269,      0.000000,  70598.585938
     5.593220,      0.672870,      0.000000,      0.933086,    218.398178,    -47.045399,      0.000000,  73745.382812
     5.762710,      0.620931,      0.000000,      0.961898,    200.748627,    -50.918106,      0.000000,  76971.718750
     5.932200,      0.563247,      0.000000,      0.988412,    184.272964,    -50.875664,      0.000000,  79979.007812
     6.101700,      0.503890,      0.000000,      1.011149,    169.980545,    -47.713848,      0.000000,  82587.601562
     6.271190,      0.447047,      0.000000,      1.029588,    158.461746,    -42.311985,      0.000000,  84722.117188
     6.440680,      0.396709,      0.000000,      1.043313,    149.976303,    -35.422459,      0.000000,  86322.351562
     6.610170,      0.356428,      0.000000,      1.052476,    144.696793,    -27.763397,      0.000000,  87396.226562
     6.779660,      0.329049,      0.000000,      1.056789,    142.599197,    -20.135746,      0.000000,  87904.257812
     6.949150,      0.316505,      0.000000,      1.056395,    143.528488,    -13.479312,      0.000000,  87858.179688
     7.118640,      0.315789,      0.000000,      1.053165,    146.651260,     -8.702960,      0.000000,  87479.250000
     7.288140,      0.315789,      0.000000,      1.049614,    149.944534,     -5.795993,      0.000000,  87064.851562
     7.457630,      0.315789,      0.000000,      1.045971,    152.742661,     -4.027597,      0.000000,  86641.484375
     7.627120,      0.315789,      0.000000,      1.042745,    154.923920,     -2.927831,      0.000000,  86266.789062
     7.796610,      0.315789,      0.000000,      1.040727,    156.450516,     -2.232736,      0.000000,  86033.117188
     7.966100,      0.315789,      0.000000,      1.038940,    157.696060,     -1.721562,      0.000000,  85826.648438
     8.135590,      0.315789,      0.000000,      1.037545,    158.652344,     -1.339967,      0.000000,  85665.867188
     8.305090,      0.315789,      0.000000,      1.036405,    159.409729,     -1.059393,      0.000000,  85534.718750
     8.474580,      0.315789,      0.000000,      1.035502,    160.008972,     -0.847267,      0.000000,  85431.171875
     8.644070,      0.315789,      0.000000,      1.034749,    160.491531,     -0.683764,      0.000000,  85345.015625
     8.813560,      0.315789,      0.000000,      1.034134,    160.882919,     -0.557903,      0.000000,  85274.898438
     8.983050,      0.315789,      0.000000,      1.033612,    161.201447,     -0.461331,      0.000000,  85215.695312
     9.152540,      0.315789,      0.000000,      1.033182,    161.467651,     -0.388001,      0.000000,  85166.804688
     9.322030,      0.315789,      0.000000,      1.032799,    161.689362,     -0.333275,      0.000000,  85123.906250
     9.491530,      0.315789,      0.000000,      1.032483,    161.883942,     -0.294146,      0.000000,  85087.773438
     9.661020,      0.315789,      0.000000,      1.032175,    162.052902,     -0.268869,      0.000000,  85054.242188
     9.830510,      0.315789,      0.000000,      1.031921,    162.210724,     -0.255526,      0.000000,  85024.804688
    10.000000,      0.315789,      0.000000,      1.031855,    162.333191,     -0.250557,      0.000000,  85012.929688
     0.000000,      0.473684,      0.000000,      1.036702,    163.434341,      0.026872,      0.000000,  85335.859375
     0.169490,      0.473684,      0.000000,      1.036725,    163.405090,      0.074936,      0.000000,  85338.476562
     0.338980,      0.473684,      0.000000,      1.036801,    163.356979,      0.150037,      0.000000,  85347.242188
     0.508470,      0.473684,      0.000000,      1.036919,    163.275436,      0.232814,      0.000000,  85360.781250
     0.677970,      0.473684,      0.000000,      1.037101,    163.157684,      0.326139,      0.000000,  85381.898438
     0.847460,      0.473684,      0.000000,      1.037339,    162.995316,      0.435246,      0.000000,  85409.320312
     1.016950,      0.473684,      0.000000,      1.037657,    162.786484,      0.565720,      0.000000,  85445.992188
     1.186440,      0.473684,      0.000000,      1.038053,    162.515274,      0.725163,      0.000000,  85491.593750
     1.355930,      0.473684,      0.000000,      1.038564,    162.175919,      0.922411,      0.000000,  85550.554688
     1.525420,      0.473684,      0.000000,      1.039187,    161.745941,      1.170921,      0.000000,  85622.367188
     1.694920,      0.473684,      0.000000,      1.039975,    161.212830,      1.487359,      0.000000,  85713.335938
     1.864410,      0.473684,      0.000000,      1.040936,    160.541885,      1.898830,      0.000000,  85824.367188
     2.033900,      0.473684,      0.000000,      1.042143,    159.708267,      2.437649,      0.000000,  85963.625000
     2.203390,      0.473684,      0.000000,      1.043619,    158.667969,      3.162639,      0.000000,  86134.148438
     2.372880,      0.473684,      0.000000,      1.045406,    157.370346,      4.179802,      0.000000,  86340.843750
     2.542370,      0.473684,      0.000000,      1.047660,    155.782013,      5.581488,      0.000000,  86601.460938
     2.711860,      0.473684,      0.000000,      1.050073,    153.861069,      7.665651,      0.000000,  86881.562500
     2.881360,      0.473684,      0.000000,      1.052493,    151.934097,     10.814778,      0.000000,  87162.218750
     3.050850,      0.474358,      0.000000,      1.054115,    150.595688,     15.207167,      0.000000,  87349.835938
     3.220340,      0.486164,      0.000000,      1.053385,    150.647369,     20.721642,      0.000000,  87265.656250
     3.389830,      0.511933,      0.000000,      1.049205,    152.842667,     26.922485,      0.000000,  86783.312500
